name,facility_type,capacity,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,coordinate,plant_life,incommod,outcommod,,plant age
Lost_Creek_Wind_Energy_Facility_LCW,wind,150,5,2010,5,2030,"(39.981389,-94.518056)",20,,,,10
Exelon_Solar_Chicago_ECS1,solar,9,12,2009,12,2034,"(41.6758,-87.6514)",25,,,,11
Spring_Valley_Wind_Project_WTG,wind,150,8,2012,8,2032,"(39.104167,-114.492222)",20,,,,8
Day_County_Wind_LLC_GE15,wind,99,4,2010,4,2030,"(45.215,-97.9056)",20,,,,10
Lower_Snake_River_Wind_Energy_Project_LSR_1,wind,342.7,2,2012,2,2032,"(46.524167,-117.821666)",20,,,,8
Blue_Wing_Solar_Energy_Generation_1,solar,13.9,11,2010,11,2035,"(29.304177,-98.400339)",25,,,,10
Bent_Tree_Wind_Farm_Phase_1_1,wind,201.3,2,2011,2,2031,"(43.724596,-93.450429)",20,,,,9
Glacier_Hills_1,wind,162,12,2011,12,2031,"(43.563889,-89.148056)",20,,,,9
Shelby_Solar_Energy_Generation_Facility_1,solar,1,5,2010,5,2035,"(35.2536,-81.5956)",25,,,,10
FPL_Energy_Montezuma_Winds_LLC_S2.3,wind,36.8,11,2010,11,2030,"(38.163581,-121.79661)",20,,,,10
Jacksonville_Solar_1,solar,12.6,4,2010,4,2035,"(30.320748,-81.956377)",25,,,,10
Wyandot_Solar_Farm_1,solar,10,4,2010,4,2035,"(40.8795,-83.317072)",25,,,,10
PSEG_Hackettstown_1,solar,2,9,2009,9,2034,"(40.860629,-74.822935)",25,,,,11
CM48_PV02,solar,8,6,2010,6,2035,"(35.7814,-114.9933)",25,,,,10
CM48_PV03,solar,10,9,2010,9,2035,"(35.7814,-114.9933)",25,,,,10
CM48_PV04,solar,10,10,2010,10,2035,"(35.7814,-114.9933)",25,,,,10
CM48_PV05,solar,10,11,2010,11,2035,"(35.7814,-114.9933)",25,,,,10
CM48_PV06,solar,10,12,2010,12,2035,"(35.7814,-114.9933)",25,,,,10
Soldotna_1,gas,50,4,2014,4,2044,"(60.499444,-150.997222)",30,,,,6
Cedar_Creek_II_1,wind,248.3,3,2011,3,2031,"(40.9475,-103.783889)",20,,,,9
Goshen_Phase_II_1,wind,124.5,9,2010,9,2030,"(43.467057,-111.836381)",20,,,,10
Papalote_Creek_II_LLC_1,wind,200.1,12,2010,12,2030,"(27.9958,-97.2967)",20,,,,10
Waverly_Community_Wind_Project_CAN1,wind,0.9,3,2009,3,2029,"(42.7317,-92.4711)",20,,,,11
Waverly_Community_Wind_Project_CAN2,wind,0.9,9,2012,9,2032,"(42.7317,-92.4711)",20,,,,8
Waverly_Community_Wind_Project_SK4,wind,0.9,12,2001,12,2021,"(42.7317,-92.4711)",20,,,,19
Crayola_Solar_Project_1,solar,1,5,2010,5,2035,"(40.760545,-75.238452)",25,,,,10
Crayola_Solar_Project_2,solar,1,4,2011,4,2036,"(40.760545,-75.238452)",25,,,,9
Crayola_Solar_Project_3,solar,0.8,1,2012,1,2037,"(40.760545,-75.238452)",25,,,,8
Solar_Photovoltaic_Project_#03_S003A,solar,0.5,3,2011,3,2036,"(34.094279,-117.400113)",25,,,,9
Solar_Photovoltaic_Project_#03_S003B,solar,0.5,3,2011,3,2036,"(34.094279,-117.400113)",25,,,,9
Solar_Photovoltaic_Project_#05_S005A,solar,0.5,11,2012,11,2037,"(34.086276,-117.230571)",25,,,,8
Solar_Photovoltaic_Project_#05_S005B,solar,0.5,11,2012,11,2037,"(34.086276,-117.230571)",25,,,,8
Solar_Photovoltaic_Project_#05_S005C,solar,0.5,11,2012,11,2037,"(34.086276,-117.230571)",25,,,,8
Solar_Photovoltaic_Project_#05_S005D,solar,0.5,11,2012,11,2037,"(34.086276,-117.230571)",25,,,,8
Solar_Photovoltaic_Project_#05_S005E,solar,0.5,11,2012,11,2037,"(34.086276,-117.230571)",25,,,,8
Solar_Photovoltaic_Project_#06_S006A,solar,0.5,8,2011,8,2036,"(34.041389,-117.573055)",25,,,,9
Solar_Photovoltaic_Project_#06_S006B,solar,0.5,8,2011,8,2036,"(34.041389,-117.573055)",25,,,,9
Solar_Photovoltaic_Project_#06_S006C,solar,0.5,8,2011,8,2036,"(34.041389,-117.573055)",25,,,,9
Solar_Photovoltaic_Project_#06_S006D,solar,0.5,8,2011,8,2036,"(34.041389,-117.573055)",25,,,,9
Solar_Photovoltaic_Project_#07_S007A,solar,0.5,11,2012,11,2037,"(34.086111,-117.2275)",25,,,,8
Solar_Photovoltaic_Project_#07_S007B,solar,0.5,11,2012,11,2037,"(34.086111,-117.2275)",25,,,,8
Solar_Photovoltaic_Project_#07_S007C,solar,0.5,11,2012,11,2037,"(34.086111,-117.2275)",25,,,,8
Solar_Photovoltaic_Project_#07_S007D,solar,0.5,11,2012,11,2037,"(34.086111,-117.2275)",25,,,,8
Solar_Photovoltaic_Project_#07_S007E,solar,0.5,11,2012,11,2037,"(34.086111,-117.2275)",25,,,,8
Solar_Photovoltaic_Project_#08_S008A,solar,0.5,8,2011,8,2036,"(34.041944,-117.565)",25,,,,9
Solar_Photovoltaic_Project_#08_S008B,solar,0.5,8,2011,8,2036,"(34.041944,-117.565)",25,,,,9
Solar_Photovoltaic_Project_#08_S008C,solar,0.5,8,2011,8,2036,"(34.041944,-117.565)",25,,,,9
Solar_Photovoltaic_Project_#08_S008D,solar,0.5,8,2011,8,2036,"(34.041944,-117.565)",25,,,,9
Solar_Photovoltaic_Project_#09_S009A,solar,0.5,8,2011,8,2036,"(34.042778,-117.571666)",25,,,,9
Solar_Photovoltaic_Project_#09_S009B,solar,0.5,8,2011,8,2036,"(34.042778,-117.571666)",25,,,,9
Solar_Photovoltaic_Project_#10_S010A,solar,0.5,1,2013,1,2038,"(34.075,-117.516944)",25,,,,7
Solar_Photovoltaic_Project_#10_S010B,solar,0.5,1,2013,1,2038,"(34.075,-117.516944)",25,,,,7
Solar_Photovoltaic_Project_#10_S010C,solar,0.5,1,2013,1,2038,"(34.075,-117.516944)",25,,,,7
Solar_Photovoltaic_Project_#11_S011A,solar,0.5,2,2015,2,2040,"(34.075833,-117.241388)",25,,,,5
Solar_Photovoltaic_Project_#11_S011B,solar,0.5,2,2015,2,2040,"(34.075833,-117.241388)",25,,,,5
Solar_Photovoltaic_Project_#11_S011C,solar,0.5,2,2015,2,2040,"(34.075833,-117.241388)",25,,,,5
Solar_Photovoltaic_Project_#11_S011D,solar,0.5,2,2015,2,2040,"(34.075833,-117.241388)",25,,,,5
Solar_Photovoltaic_Project_#11_S011E,solar,0.5,2,2015,2,2040,"(34.075833,-117.241388)",25,,,,5
Solar_Photovoltaic_Project_#11_S011F,solar,0.5,2,2015,2,2040,"(34.075833,-117.241388)",25,,,,5
Solar_Photovoltaic_Project_#11_S011G,solar,0.5,2,2015,2,2040,"(34.075833,-117.241388)",25,,,,5
Solar_Photovoltaic_Project_#12_S012A,solar,0.5,8,2011,8,2036,"(34.042222,-117.561666)",25,,,,9
Solar_Photovoltaic_Project_#13_S013A,solar,0.5,2,2015,2,2040,"(34.083499,-117.23557)",25,,,,5
Solar_Photovoltaic_Project_#13_S013B,solar,0.5,2,2015,2,2040,"(34.083499,-117.23557)",25,,,,5
Solar_Photovoltaic_Project_#13_S013C,solar,0.5,2,2015,2,2040,"(34.083499,-117.23557)",25,,,,5
Solar_Photovoltaic_Project_#13_S013D,solar,0.5,2,2015,2,2040,"(34.083499,-117.23557)",25,,,,5
Solar_Photovoltaic_Project_#13_S013E,solar,0.5,2,2015,2,2040,"(34.083499,-117.23557)",25,,,,5
Solar_Photovoltaic_Project_#13_S013F,solar,0.5,2,2015,2,2040,"(34.083499,-117.23557)",25,,,,5
Solar_Photovoltaic_Project_#13_S013G,solar,0.5,2,2015,2,2040,"(34.083499,-117.23557)",25,,,,5
